"Tour Code";"Themes";"Tour Destination";"Price"
"PE0K41";;"Chandni Chowk,Jama Masjid,Big Ben and the Houses of Parliament,Qutub Minar,Red Fort,Taj Mahal,Delhi,Florence,Temple,Toyota,India,Taj Mahal,";"$$$"
"PDDYHL";;"Union Buildings,Pretoria,Africa,South Africa,";"$$"
"P1JVVQ";"Museum,Museum,";"Johannesburg,Africa,South Africa,";"$$"
"PY6BZR";"Water Sports,Water Sports,";"Whangamata,Coro,";"$$$"
"PA8NFT";"Water Sports,Water Sports,Water Sports,";"New Zealand,";"$$$"
"PFSGG9";"Sky Activities,";"Hollywood,Santorini Beaches,Hollywood,Santorini,Greece,Santorini,";"$$$$"
"PRAC0N";"Food Tour,";"Santorini Beaches,Santorini,Santorini,";"$$$$"
"PE6MKQ";;"Santorini Beaches,Santorini,Santorini,";"$$"
"PVZTCO";"Sky Activities,";"Santorini Beaches,Santorini,Santorini,";"$$$$"
"PUS64W";"Museum,Museum,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Taj Mahal,Agra,Bari,Bikaner,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Manta,Saga,Temple,Toyota,Udaipur,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PK4RY3";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Bari,Haveli,Jodhpur,Saga,Temple,Toyota,Udaipur,India,";"$$$"
"PU10WL";"Museum,National Park,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Taj Mahal,Agra,Ajmer,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Pushkar,Roman,Temple,Toyota,Udaipur,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PZ0TR0";"Museum,";"Agra Fort,Chandni Chowk,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Jama Masjid,Nara,Red Fort,Taj Mahal,Agra,Bais,Bikaner,Delhi,Fatehpur,Florence,Haveli,Jaipur,Jaisalmer,Jodhpur,Manta,New Delhi,Saga,Temple,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
